COMPRAS PM (EDITABLE)							
							
Fecha	OC	Codigo	Descripcion	Proveedor	Costo PM CLP	Regla	Estado OC
24-02-2026	DEMO-02-7720	CD-107	SC-02 MANTENCION INYECTORES CD-107	SERVICIOS Y REPUESTOS FRANCO ALVAREZ E.I.R.L.	 $2.451.400,00 	Directo Equipo	OC Aprobada
25-02-2026	DEMO-02-7732	CD-116	SC-02-6105 KIT FILTROS CD-116	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $94.000,00 	Directo Equipo	OC Aprobada
25-02-2026	DEMO-02-7736	MD-75	SC-02-6101 FILTROS MD-75	COM. PUENTES DE MAULE LTDA.	 $357.653,31 	Directo Equipo	OC Aprobada
25-02-2026	DEMO-02-7737	MD-96	SC-02-6103 KIT DE FILTROS MD-96	KAUFMANN S A VEHICULOS MOTORIZADOS	 $258.526,31 	Directo Equipo	OC Aprobada
25-02-2026	DEMO-02-7738	CD-71	SC-02-6104 FILTROS MANTENCION CD-71	COM. PUENTES DE MAULE LTDA.	 $393.830,50 	Directo Equipo	OC Aprobada
26-02-2026	DEMO-02-7745	CD-93	SC-02-KIT FILTROS CD-93	AUTOMOTORA ALAMEDA SPA	 $170.432,99 	Directo Equipo	OC Aprobada
26-02-2026	DEMO-02-7746	CD-51	SC-02- KIT DE FILTROS CD-51	AUTOMOTORA ALAMEDA SPA	 $131.994,80 	Directo Equipo	OC Aprobada
26-02-2026	DEMO-02-7748	CD-96	SC-02 KIT DE FILTROS CD-96	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $75.899,97 	Directo Equipo	OC Aprobada
26-02-2026	DEMO-02-7758	MD-79	SC-02-6108 KIT FILTROS MD-79	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $337.399,95 	Directo Equipo	OC Aprobada
26-02-2026	DEMO-02-7759	CD-113	SC-02-6107 KIT FILTROS CD-113	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $92.199,97 	Directo Equipo	OC Aprobada
27-02-2026	DEMO-02-7769	MD-25	SC-02-6109 KIT FILTROS MD-25	COM. PUENTES DE MAULE LTDA.	 $736.402,94 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7782	MD-103	SC-02-6110 KIT FILTROS MD-103	COM. PUENTES DE MAULE LTDA.	 $263.781,35 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7785	MD-56	SC-02- MANTENCION INYECTORES MD-56	VENTA Y SERVICIOS DE MANTENIMIENTO DE MAQUINARIAS LIMITADA	 $669.327,40 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7786	MD-39	SC-02-6111 FILTROS MD-39	COM. PUENTES DE MAULE LTDA.	 $237.325,27 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7788	CD-123	SC-02-6112 FILTROS CD-123/122/91	UNIÓN TÉCNICA AUTOMOTRIZ LTDA.	 $2.116.390,01 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7789	CD-122	SC-02-FILTRO HIDRAULICO CD-122/123/	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $26.999,91 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7790	CD-94	SC-02-6118 FILTROS CD-94	UNIÓN TÉCNICA AUTOMOTRIZ LTDA.	 $458.830,68 	Directo Equipo	OC Aprobada
02-03-2026	DEMO-02-7792	VD-89	SC-02 MANTENCION VD-89	KAUFMANN S A VEHICULOS MOTORIZADOS	 $312.029,90 	Directo Equipo	OC Aprobada
03-03-2026	DEMO-02-7801	MD-89	SC-02-6113 FILTROS MD-89	COM. PUENTES DE MAULE LTDA.	 $237.325,27 	Directo Equipo	OC Aprobada
03-03-2026	DEMO-02-7802	MD-61	SC-02-6150 FILTROS MD-61 MD-28	COM. PUENTES DE MAULE LTDA.	 $115.923,85 	Directo Equipo	OC Aprobada
03-03-2026	DEMO-02-7802	MD-28	SC-02-6150 FILTROS MD-61 MD-28	COM. PUENTES DE MAULE LTDA.	 $115.923,85 	Directo Equipo	OC Aprobada
03-03-2026	DEMO-02-7803	CD-14	SC-02-6114 FILTROS MANTENCION CD-14	COM. PUENTES DE MAULE LTDA.	 $63.816,13 	Directo Equipo	OC Aprobada
03-03-2026	DEMO-02-7804	MD-49	SC-02-6116 FILTROS MANTENCION MD-49	COM. PUENTES DE MAULE LTDA.	 $204.885,87 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7809	MD-107	SC-02-6137 FILTROS MD-107	KAUFMANN S A VEHICULOS MOTORIZADOS	 $211.515,36 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7811	MD-87	SC-02-6151 KIT FILTROS MD-87	COM. PUENTES DE MAULE LTDA.	 $450.580,41 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7817	MD-26	SC-02-6121 FILTROS MD-26	COM. PUENTES DE MAULE LTDA.	 $496.871,41 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7818	MD-73	SC-02-6117 FILTROS MD-73	COM. PUENTES DE MAULE LTDA.	 $289.773,33 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7819	CD-100	SC-02-6124 FILTROS CD-100	COM. PUENTES DE MAULE LTDA.	 $199.255,98 	Directo Equipo	OC Aprobada
04-03-2026	DEMO-02-7820	MD-100	SC-02-6127 FILTROS MD-100	KAUFMANN S A VEHICULOS MOTORIZADOS	 $360.956,75 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7825		SC-02-6122 FILTROS  ZXAUTOS	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $18.800,04 	Preventivo sin equipo	OC Aprobada
05-03-2026	DEMO-02-7826	MD-25	SC-02 FILTRO  MD-25  MD-107	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $26.999,91 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7826	MD-107	SC-02 FILTRO  MD-25  MD-107	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $26.999,91 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7830	VD-138	SC-02 MANTENCION  EXTERNA VD-138	KAUFMANN S A VEHICULOS MOTORIZADOS	 $300.335,77 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7833	VD-38	SC-02-6115 FILTROS VD-38	SOCIEDAD COMERCIAL SOCOFIL LIMITADA	 $40.499,97 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7835	MD-82	SC-02-6138 FILTROS MD-82	COM. PUENTES DE MAULE LTDA.	 $321.247,64 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7836	MD-105	SC-02-6135 FILTROS MD-105	COM. PUENTES DE MAULE LTDA.	 $255.083,64 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7837	MD-76	SC-02-6136 FILTROS MD-76	COM. PUENTES DE MAULE LTDA.	 $283.936,38 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7838	CD-127	SC-02-6140 FILTROS CD-127	COM. PUENTES DE MAULE LTDA.	 $222.792,99 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7839	MD-95	SC-02-6132 FILTROS MD-95	COM. PUENTES DE MAULE LTDA.	 $133.882,14 	Directo Equipo	OC Aprobada
05-03-2026	DEMO-02-7841	MD-85	SC-02-6123 FILTROS MD-85	COM. PUENTES DE MAULE LTDA.	 $206.424,54 	Directo Equipo	OC Aprobada
06-03-2026	DEMO-02-7847	VD-1	SC-02-6163 MANTENCION EXTERNA  VD-1	ROSSELOT Y FIGUEROA LIMITADA	 $506.350,95 	Directo Equipo	OC Aprobada
